#WAVELENGTH FLUX ERROR DQ
1127.2349582615957 0.0 0.0 128
1127.2449245832918 0.0 0.0 128
1127.2548909049876 0.0 0.0 128
1127.2648572266837 0.0 0.0 128
1127.2748235483798 0.0 0.0 128
1127.2847898700759 0.0 0.0 128
1127.294756191772 0.0 0.0 128
1127.304722513468 0.0 0.0 128
1127.3146888351641 0.0 0.0 128
1127.32465515686 0.0 0.0 128
1127.334621478556 0.0 0.0 128
1127.3445878002522 0.0 0.0 128
1127.3545541219482 0.0 0.0 128
1127.3645204436443 0.0 0.0 128
1127.3744867653404 0.0 0.0 128
1127.3844530870365 0.0 0.0 128
1127.3944194087323 0.0 0.0 128
1127.4043857304284 0.0 0.0 128
1127.4143520521245 0.0 0.0 128
1127.4243183738206 0.0 0.0 128
1127.4342846955167 0.0 0.0 128
1127.4442510172128 0.0 0.0 128
1127.4542173389088 0.0 0.0 128
1127.4641836606047 0.0 0.0 128
1127.4741499823008 0.0 0.0 128
1127.4841163039969 0.0 0.0 128
1127.494082625693 0.0 0.0 128
1127.504048947389 0.0 0.0 128
1127.5140152690851 0.0 0.0 128
1127.5239815907812 0.0 0.0 128
1127.533947912477 0.0 0.0 128
1127.5439142341731 0.0 0.0 128
1127.5538805558692 0.0 0.0 128
1127.5638468775653 0.0 0.0 128
1127.5738131992614 0.0 0.0 128
1127.5837795209575 0.0 0.0 128
1127.5937458426536 0.0 0.0 128
1127.6037121643494 0.0 0.0 128
1127.6136784860455 0.0 0.0 128
1127.6236448077416 0.0 0.0 128
1127.6336111294377 0.0 0.0 128
1127.6435774511338 0.0 0.0 128
1127.6535437728298 0.0 0.0 128
1127.663510094526 0.0 0.0 128
1127.6734764162218 0.0 0.0 128
1127.6834427379179 0.0 0.0 128
1127.693409059614 0.0 0.0 128
1127.70337538131 0.0 0.0 128
1127.713341703006 0.0 0.0 128
1127.7233080247022 0.0 0.0 128
1127.7332743463983 0.0 0.0 128
1127.7432406680944 0.0 0.0 128
1127.7532069897902 0.0 0.0 128
1127.7631733114863 0.0 0.0 128
1127.7731396331824 0.0 0.0 128
1127.7831059548785 0.0 0.0 128
1127.7930722765745 0.0 0.0 128
1127.8030385982706 0.0 0.0 128
1127.8130049199667 0.0 0.0 128
1127.8229712416626 0.0 0.0 128
1127.8329375633587 0.0 0.0 128
1127.8429038850547 0.0 0.0 128
1127.8528702067508 0.0 0.0 128
1127.862836528447 0.0 0.0 128
1127.872802850143 0.0 0.0 128
1127.882769171839 0.0 0.0 128
1127.892735493535 0.0 0.0 128
1127.902701815231 0.0 0.0 128
1127.912668136927 0.0 0.0 128
1127.9226344586232 0.0 0.0 128
1127.9326007803193 0.0 0.0 128
1127.9425671020153 0.0 0.0 128
1127.9525334237114 0.0 0.0 128
1127.9624997454073 0.0 0.0 128
1127.9724660671034 0.0 0.0 128
1127.9824323887995 0.0 0.0 128
1127.9923987104955 0.0 0.0 128
1128.0023650321916 0.0 0.0 128
1128.0123313538877 0.0 0.0 128
1128.0222976755838 0.0 0.0 128
1128.0322639972796 0.0 0.0 128
1128.0422303189757 0.0 0.0 128
1128.0521966406718 0.0 0.0 128
1128.062162962368 0.0 0.0 128
1128.072129284064 0.0 0.0 128
1128.08209560576 0.0 0.0 128
1128.0920619274561 0.0 0.0 128
1128.102028249152 0.0 0.0 128
1128.111994570848 0.0 0.0 128
1128.1219608925442 0.0 0.0 128
1128.1319272142402 0.0 0.0 128
1128.1418935359363 0.0 0.0 128
1128.1518598576324 0.0 0.0 128
1128.1618261793285 0.0 0.0 128
1128.1717925010244 0.0 0.0 128
1128.1817588227204 0.0 0.0 128
1128.1917251444165 0.0 0.0 128
1128.2016914661126 0.0 0.0 128
1128.2116577878087 0.0 0.0 128
1128.2216241095048 0.0 0.0 128
1128.2315904312009 0.0 0.0 128
1128.2415567528967 0.0 0.0 128
1128.2515230745928 0.0 0.0 128
1128.2614893962889 0.0 0.0 128
1128.271455717985 0.0 0.0 128
1128.281422039681 0.0 0.0 128
1128.2913883613771 0.0 0.0 128
1128.3013546830732 0.0 0.0 128
1128.311321004769 0.0 0.0 128
1128.3212873264652 0.0 0.0 128
1128.3312536481612 0.0 0.0 128
1128.3412199698573 0.0 0.0 128
1128.3511862915534 0.0 0.0 128
1128.3611526132495 0.0 0.0 128
1128.3711189349456 0.0 0.0 128
1128.3810852566414 0.0 0.0 128
1128.3910515783375 0.0 0.0 128
1128.4010179000336 0.0 0.0 128
1128.4109842217297 0.0 0.0 128
1128.4209505434258 0.0 0.0 128
1128.4309168651218 0.0 0.0 128
1128.440883186818 0.0 0.0 128
1128.4508495085138 0.0 0.0 128
1128.4608158302099 0.0 0.0 128
1128.470782151906 0.0 0.0 128
1128.480748473602 0.0 0.0 128
1128.4907147952981 0.0 0.0 128
1128.5006811169942 0.0 0.0 128
1128.5106474386903 0.0 0.0 128
1128.5206137603864 0.0 0.0 128
1128.5305800820822 0.0 0.0 128
1128.5405464037783 0.0 0.0 128
1128.5505127254744 0.0 0.0 128
1128.5604790471705 0.0 0.0 128
1128.5704453688666 0.0 0.0 128
1128.5804116905626 0.0 0.0 128
1128.5903780122587 0.0 0.0 128
1128.6003443339546 0.0 0.0 128
1128.6103106556507 0.0 0.0 128
1128.6202769773467 0.0 0.0 128
1128.6302432990428 0.0 0.0 128
1128.640209620739 0.0 0.0 128
1128.650175942435 0.0 0.0 128
1128.660142264131 0.0 0.0 128
1128.670108585827 0.0 0.0 128
1128.680074907523 0.0 0.0 128
1128.690041229219 0.0 0.0 128
1128.7000075509152 0.0 0.0 128
1128.7099738726113 0.0 0.0 128
1128.7199401943074 0.0 0.0 128
1128.7299065160034 0.0 0.0 128
1128.7398728376993 0.0 0.0 128
1128.7498391593954 0.0 0.0 128
1128.7598054810915 0.0 0.0 128
1128.7697718027875 0.0 0.0 128
1128.7797381244836 0.0 0.0 128
1128.7897044461797 0.0 0.0 128
1128.7996707678758 0.0 0.0 128
1128.8096370895717 0.0 0.0 128
1128.8196034112677 0.0 0.0 128
1128.8295697329638 0.0 0.0 128
1128.83953605466 0.0 0.0 128
1128.849502376356 0.0 0.0 128
1128.859468698052 0.0 0.0 128
