#WAVELENGTH FLUX ERROR DQ
1126.8604167594576 0.0 0.0 128
1126.8703830299887 0.0 0.0 128
1126.88034930052 0.0 0.0 128
1126.8903155710514 0.0 0.0 128
1126.9002818415825 0.0 0.0 128
1126.9102481121138 0.0 0.0 128
1126.9202143826449 0.0 0.0 128
1126.9301806531762 0.0 0.0 128
1126.9401469237073 0.0 0.0 128
1126.9501131942386 0.0 0.0 128
1126.96007946477 0.0 0.0 128
1126.970045735301 0.0 0.0 128
1126.9800120058324 0.0 0.0 128
1126.9899782763634 0.0 0.0 128
1126.9999445468948 0.0 0.0 128
1127.009910817426 0.0 0.0 128
1127.0198770879572 0.0 0.0 128
1127.0298433584885 0.0 0.0 128
1127.0398096290196 0.0 0.0 128
1127.049775899551 0.0 0.0 128
1127.059742170082 0.0 0.0 128
1127.0697084406133 0.0 0.0 128
1127.0796747111447 0.0 0.0 128
1127.0896409816758 0.0 0.0 128
1127.099607252207 0.0 0.0 128
1127.1095735227382 0.0 0.0 128
1127.1195397932695 0.0 0.0 128
1127.1295060638008 0.0 0.0 128
1127.139472334332 0.0 0.0 128
1127.1494386048632 0.0 0.0 128
1127.1594048753943 0.0 0.0 128
1127.1693711459257 0.0 0.0 128
1127.179337416457 0.0 0.0 128
1127.189303686988 0.0 0.0 128
1127.1992699575194 0.0 0.0 128
1127.2092362280505 0.0 0.0 128
1127.2192024985818 0.0 0.0 128
1127.229168769113 0.0 0.0 128
1127.2391350396442 0.0 0.0 128
1127.2491013101755 0.0 0.0 128
1127.2590675807066 0.0 0.0 128
1127.269033851238 0.0 0.0 128
1127.279000121769 0.0 0.0 128
1127.2889663923004 0.0 0.0 128
1127.2989326628317 0.0 0.0 128
1127.3088989333628 0.0 0.0 128
1127.3188652038941 0.0 0.0 128
1127.3288314744252 0.0 0.0 128
1127.3387977449565 0.0 0.0 128
1127.3487640154876 0.0 0.0 128
1127.358730286019 0.0 0.0 128
1127.3686965565503 0.0 0.0 128
1127.3786628270814 0.0 0.0 128
1127.3886290976127 0.0 0.0 128
1127.3985953681438 0.0 0.0 128
1127.408561638675 0.0 0.0 128
1127.4185279092064 0.0 0.0 128
1127.4284941797375 0.0 0.0 128
1127.4384604502688 0.0 0.0 128
1127.4484267208 0.0 0.0 128
1127.4583929913313 0.0 0.0 128
1127.4683592618626 0.0 0.0 128
1127.4783255323937 0.0 0.0 128
1127.488291802925 0.0 0.0 128
1127.498258073456 0.0 0.0 128
1127.5082243439874 0.0 0.0 128
1127.5181906145185 0.0 0.0 128
1127.5281568850498 0.0 0.0 128
1127.5381231555812 0.0 0.0 128
1127.5480894261123 0.0 0.0 128
1127.5580556966436 0.0 0.0 128
1127.5680219671747 0.0 0.0 128
1127.577988237706 0.0 0.0 128
1127.5879545082373 0.0 0.0 128
1127.5979207787684 0.0 0.0 128
1127.6078870492997 0.0 0.0 128
1127.6178533198308 0.0 0.0 128
1127.6278195903622 0.0 0.0 128
1127.6377858608932 0.0 0.0 128
1127.6477521314246 0.0 0.0 128
1127.657718401956 0.0 0.0 128
1127.667684672487 0.0 0.0 128
1127.6776509430183 0.0 0.0 128
1127.6876172135494 0.0 0.0 128
1127.6975834840807 0.0 0.0 128
1127.707549754612 0.0 0.0 128
1127.7175160251431 0.0 0.0 128
1127.7274822956745 0.0 0.0 128
1127.7374485662056 0.0 0.0 128
1127.7474148367369 0.0 0.0 128
1127.7573811072682 0.0 0.0 128
1127.7673473777993 0.0 0.0 128
1127.7773136483306 0.0 0.0 128
1127.7872799188617 0.0 0.0 128
1127.797246189393 0.0 0.0 128
1127.8072124599241 0.0 0.0 128
1127.8171787304555 0.0 0.0 128
1127.8271450009868 0.0 0.0 128
1127.8371112715179 0.0 0.0 128
1127.8470775420492 0.0 0.0 128
1127.8570438125803 0.0 0.0 128
1127.8670100831116 0.0 0.0 128
1127.876976353643 0.0 0.0 128
1127.886942624174 0.0 0.0 128
1127.8969088947053 0.0 0.0 128
1127.9068751652364 0.0 0.0 128
1127.9168414357678 0.0 0.0 128
1127.9268077062989 0.0 0.0 128
1127.9367739768302 0.0 0.0 128
1127.9467402473615 0.0 0.0 128
1127.9567065178926 0.0 0.0 128
1127.966672788424 0.0 0.0 128
1127.976639058955 0.0 0.0 128
1127.9866053294863 0.0 0.0 128
1127.9965716000177 0.0 0.0 128
1128.0065378705488 0.0 0.0 128
1128.01650414108 0.0 0.0 128
1128.0264704116112 0.0 0.0 128
1128.0364366821425 0.0 0.0 128
1128.0464029526738 0.0 0.0 128
