ID,ra,dec,pmRA,pmDEC,Tmag
417755002,105.84240031773,66.8189569565763,-8.3886,-28.5083,15.8885
302843036,110.070800414594,30.6401248265456,0.0,0.0,15.9776
239127109,111.14467731562,32.2693263195501,7.78691,-22.5122,15.7542
400640843,111.647390336066,32.4318016905255,-3.31913,-17.0848,17.41
247116301,112.749266501262,14.6811022708913,0.0,0.0,15.5563
247168983,113.690251907435,15.9135768449972,-3.37933,10.3636,15.087
70547104,114.952303644776,18.3038901156828,-1.96002,-0.747355,17.5228
70547951,115.116257969224,18.8055142609479,-0.322511,-2.88906,17.6568
4300907,115.969480919843,32.4298016604177,-28.3301,-13.2867,17.4587
16416537,116.341108922242,17.2557513798945,1.61799,-7.98793,17.6008
393743079,116.4527324654,26.5231903387327,-3.65182,-11.3136,16.035
62944639,116.994824473264,22.4950830544386,3.85196,-15.5205,17.2279
62947668,117.190432629604,18.0446055334122,18.4114,-29.3011,14.7489
299648441,117.716055635024,8.83893218253458,-1.38065,-15.3377,15.7507
130257267,117.94070157216,27.189147216276,0.912143,2.81258,17.1273
63171101,118.31116481703,19.1572925387958,-6.75713,-14.5608,17.7055
17815151,118.358062762052,16.6924600541839,-2.06451,-9.36625,16.7507
63188984,118.484884965413,23.5219391178676,6.22301,-16.5505,16.0301
171367405,118.609601356495,24.122580337101,-5.0702,-23.0336,17.8056
18876283,118.786204323326,12.4336752707658,-1.67419,-9.47495,17.7099
18913007,118.830781694527,17.3728392579812,0.0,0.0,17.2635
20656977,119.830924365734,32.3301371213337,13.563,-32.4224,15.0989
388019279,120.392676830411,9.61193701899876,0.0,0.0,15.2594
388053468,120.538043116442,8.58382427717067,-4.42332,-5.33793,17.5934
388081941,120.662802297795,10.3405864425957,-14.8285,-12.571,16.035
358088578,120.769221431145,12.3029133275482,-8.63416,-9.81738,15.5744
388088308,120.967944667589,9.13181901096527,-14.7202,-11.0784,16.418
284849737,121.35165319396,23.4032472674683,11.9028,-9.94925,15.9217
801072488,121.541676478374,21.6980235165874,0.179482,-42.2809,17.7259
69299223,121.72480906293,16.1249558205207,-13.5591,3.14579,17.0677
443886996,121.886981458459,11.4529799646037,-10.7052,3.00781,15.8264
386839992,122.194180192002,18.4328930966933,2.54206,-10.6032,17.5492
459181064,122.539453919298,83.4712321613047,7.90945,7.71882,17.6127
443909315,122.570386211946,7.22597958752918,-4.9149,5.40958,17.3105
334412519,122.863112726523,7.87676331212764,73.55,-41.54,17.0412
334476579,122.969657605339,11.7905381833337,11.8603,-36.4378,15.7037
27548856,122.988049643482,14.5925038105754,3.02352,-0.682924,15.3305
334415089,122.991597849018,8.10650992132571,-8.08542,-5.55048,17.7331
82328172,123.807026406203,20.7300837088553,-2.38949,-16.8454,17.0923
443957098,123.85021223138,9.81541140988457,0.731046,-4.78888,16.1966
186851025,124.548769638575,17.5401626107842,-9.86742,-12.0624,17.0222
6893274,125.557968151729,12.2437572255488,-13.4791,-0.884837,17.7572
6923909,125.823573406627,13.1156581165535,15.2741,-24.4018,16.1256
6953493,126.120838760163,17.3959472029325,46.18,1.33,16.7481
6995045,126.390931852282,16.1801007926247,-7.09564,-4.23396,17.128
366438202,126.507237315077,9.76563282970314,-11.3594,-13.6902,17.9772
7059462,126.923006216778,16.3729692683547,0.0,0.0,17.2491
