                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "12778"          1.7999999999999999E-001          4.4000000000000000E-001          2.8699999999999998E-001                       "gfortran"                          "9.2.0"            "x86_64-linux-20.3.2"                       "20200727" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              70          2.0484719953006766E+009          2.5404805078223863E-001          1.4390015283612350E+000          2.0345541852864642E+002          8.3231762125355345E+001          4.3862748494755061E-001          6.5888072550892074E-001         -5.5799421819842898E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.2958892229376853E+050         -5.4012809130853827E+032          0.0000000000000000E+000         -2.1867534061074421E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              75          2.2607666809299011E+009          2.5020619723765003E-001          1.4244571364892251E+000          2.0449146939667568E+002          8.3655601116821856E+001          4.3419415398773120E-001          6.5222123329863158E-001         -5.5331874912151990E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.2589247843487728E+050         -5.5967809470208701E+032          0.0000000000000000E+000         -2.2659032174173561E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              80          2.4646077288303394E+009          2.4642244230319660E-001          1.4100597488633928E+000          2.0553279612026543E+002          8.4081598412835859E+001          4.2980563194680921E-001          6.4562905044310359E-001         -5.4859124995056285E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.2221476251549307E+050         -5.7993571289819783E+032          0.0000000000000000E+000         -2.3479178659846065E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              85          2.6603317653788304E+009          2.4269590737992619E-001          1.3958078796706102E+000          2.0657942556552112E+002          8.4509765004076812E+001          4.2546146592847928E-001          6.3910349662781840E-001         -5.4381242803630070E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.1855567965098346E+050         -6.0092655810259200E+032          0.0000000000000000E+000         -2.4329010449497650E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              90          2.8482620123894682E+009          2.3902572715554024E-001          1.3817000581152785E+000          2.0763138473535773E+002          8.4940111937191801E+001          4.2116120761398590E-001          6.3264389841438695E-001         -5.3898284224828030E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.1491513543744619E+050         -6.2267716955795823E+032          0.0000000000000000E+000         -2.5209602006395069E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              95          3.0287088208872538E+009          2.3541104940346566E-001          1.3677348282675417E+000          2.0868870077019665E+002          8.5372650315080449E+001          4.1690441321585692E-001          6.2624958917105045E-001         -5.3410291444022406E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.1129303594927401E+050         -6.4521504709818015E+032          0.0000000000000000E+000         -2.6122066684136847E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             100          3.2019701836267676E+009          2.3185103478496613E-001          1.3539107489130362E+000          2.0975140094866566E+002          8.5807391297181397E+001          4.1269064343210443E-001          6.1991990900388461E-001         -5.2917294116652647E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.0768928773673145E+050         -6.6856868591704082E+032          0.0000000000000000E+000         -2.7067558134293150E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             105          3.3683322272021785E+009          2.2834485665424423E-001          1.3402263934041547E+000          2.1081951268830278E+002          8.6244346099760222E+001          4.0851946340088913E-001          6.1365420468869747E-001         -5.2419310523496943E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.0410379782354385E+050         -6.9276761259540612E+032          0.0000000000000000E+000         -2.8047271764996198E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             110          3.5280696845613070E+009          2.2489170086649232E-001          1.3266803495128177E+000          2.1189306354626379E+002          8.6683525996198824E+001          4.0439044265564167E-001          6.0745182960361743E-001         -5.1916348747681473E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.0053647370449822E+050         -7.1784242243240536E+032          0.0000000000000000E+000         -2.9062446252324100E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             115          3.6814463487040043E+009          2.2149076558884631E-001          1.3132712192847320E+000          2.1297208122003286E+002          8.7124942317286170E+001          4.0030315508063991E-001          6.0131214366236185E-001         -5.1408407744032414E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          6.9698722334305724E+050         -7.4382481812782259E+032          0.0000000000000000E+000         -3.0114365106389579E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
