MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1001056058075,13.67,0.06,157.14544,-0.00831,53765.39205,0
1001056058075,13.64,0.05,157.14550,-0.00828,53887.15429,0
1001056058075,13.65,0.05,157.14549,-0.00827,53887.16337,0
1001056058075,13.66,0.05,157.14551,-0.00827,53887.17246,0
1001056058075,13.65,0.05,157.14548,-0.00830,53887.18156,0
1001056058075,13.63,0.05,157.14541,-0.00829,53803.27591,0
1001056058075,13.63,0.05,157.14544,-0.00826,53803.28260,0
1001056058075,13.66,0.05,157.14545,-0.00827,53803.28936,0
1001056058075,13.66,0.05,157.14544,-0.00826,53803.29619,0
1001056058075,13.66,0.05,157.14546,-0.00828,53860.17133,0
1001056058075,13.64,0.05,157.14548,-0.00832,53860.17933,0
1001056058075,13.66,0.05,157.14548,-0.00830,53860.18730,0
1001056058075,13.65,0.05,157.14550,-0.00829,53860.19532,0
1001056058075,13.67,0.05,157.14548,-0.00829,53878.13457,0
1001056058075,13.63,0.05,157.14546,-0.00828,53878.13998,0
1001056058075,13.65,0.05,157.14549,-0.00826,53878.14535,0
1001056058075,13.65,0.05,157.14550,-0.00825,53878.15070,0
1001056058075,13.70,0.05,157.14542,-0.00830,54206.12690,0
1001056058075,13.66,0.05,157.14544,-0.00828,54206.13187,0
1001056058075,13.66,0.05,157.14547,-0.00827,54453.43807,0
1001056058075,13.63,0.05,157.14548,-0.00828,54465.47358,0
1001056058075,13.66,0.05,157.14550,-0.00828,54465.48065,0
1001056058075,13.65,0.05,157.14550,-0.00830,54465.48779,0
1001056058075,13.62,0.05,157.14547,-0.00828,54465.49483,0
1001056058075,13.65,0.05,157.14545,-0.00826,54141.34617,0
1001056058075,13.63,0.05,157.14549,-0.00831,54141.35312,0
1001056058075,13.63,0.05,157.14546,-0.00828,54141.36009,0
1001056058075,13.64,0.05,157.14550,-0.00824,54141.36707,0
1001056058075,13.65,0.05,157.14548,-0.00830,54125.35802,0
1001056058075,13.64,0.05,157.14547,-0.00833,54560.19334,0
1001056058075,13.64,0.05,157.14551,-0.00830,54560.19875,0
1001056058075,13.65,0.05,157.14550,-0.00826,54560.20422,0
1001056058075,13.64,0.05,157.14548,-0.00830,54560.20965,0
1001056058075,13.63,0.05,157.14547,-0.00833,54583.14092,0
1001056058075,13.63,0.05,157.14550,-0.00831,54583.14702,0
1001056058075,13.64,0.05,157.14546,-0.00833,54583.15314,0
1001056058075,13.64,0.05,157.14545,-0.00830,54583.15925,0
1001056058075,13.68,0.05,157.14549,-0.00833,54801.50659,0
1001056058075,13.64,0.05,157.14550,-0.00829,54505.36223,0
1001056058075,13.63,0.05,157.14551,-0.00830,54505.37085,0
1001056058075,13.64,0.05,157.14550,-0.00834,54505.37945,0
1001056058075,13.64,0.05,157.14550,-0.00830,54505.38804,0
1001056058075,13.64,0.05,157.14546,-0.00826,54510.28554,0
1001056058075,13.63,0.05,157.14544,-0.00826,54529.24603,0
1001056058075,13.62,0.05,157.14549,-0.00830,54589.17061,0
1001056058075,13.62,0.05,157.14549,-0.00830,54589.17875,0
1001056058075,13.63,0.05,157.14546,-0.00833,54589.18627,0
1001056058075,13.62,0.05,157.14550,-0.00829,54589.19376,0
1001056058075,13.66,0.05,157.14552,-0.00836,54950.18263,0
1001056058075,13.66,0.05,157.14552,-0.00835,54950.18911,0
1001056058075,13.66,0.05,157.14552,-0.00834,54950.19559,0
1001056058075,13.67,0.05,157.14552,-0.00833,54950.20210,0
1001056058075,13.62,0.05,157.14543,-0.00843,55181.50588,0
1001056058075,13.58,0.05,157.14550,-0.00843,55181.51183,0
1001056058075,13.64,0.05,157.14547,-0.00839,55181.51639,0
1001056058075,13.66,0.05,157.14549,-0.00838,55181.52106,0
1001056058075,13.67,0.05,157.14551,-0.00833,54863.38526,0
1001056058075,13.67,0.05,157.14549,-0.00833,54863.39070,0
1001056058075,13.66,0.05,157.14550,-0.00836,54863.39620,0
1001056058075,13.66,0.05,157.14552,-0.00833,54863.40164,0
1001056058075,13.65,0.05,157.14551,-0.00834,54849.43170,0
1001056058075,13.66,0.05,157.14548,-0.00834,54849.43896,0
1001056058075,13.68,0.05,157.14552,-0.00834,54849.44636,0
1001056058075,13.65,0.05,157.14549,-0.00838,54849.45371,0
1001056058075,13.68,0.05,157.14548,-0.00839,54921.20054,0
1001056058075,13.67,0.05,157.14549,-0.00833,54921.20945,0
1001056058075,13.68,0.05,157.14548,-0.00834,54921.21798,0
1001056058075,13.68,0.05,157.14549,-0.00835,54921.22652,0
1001056058075,13.66,0.05,157.14552,-0.00833,54966.13795,0
1001056058075,13.66,0.05,157.14553,-0.00840,54966.14384,0
1001056058075,13.66,0.05,157.14552,-0.00837,54966.14979,0
1001056058075,13.66,0.05,157.14553,-0.00835,54966.15569,0
1001056058075,13.65,0.05,157.14548,-0.00841,55292.21971,0
1001056058075,13.64,0.05,157.14548,-0.00840,55292.22607,0
1001056058075,13.66,0.05,157.14551,-0.00840,55292.23241,0
1001056058075,13.65,0.05,157.14547,-0.00845,55292.23872,0
1001056058075,13.63,0.05,157.14552,-0.00847,55301.24310,0
1001056058075,13.65,0.05,157.14552,-0.00841,55301.25004,0
1001056058075,13.64,0.05,157.14552,-0.00845,55301.25695,0
1001056058075,13.65,0.05,157.14551,-0.00846,55301.26384,0
1001056058075,13.63,0.05,157.14547,-0.00846,55268.28950,0
1001056058075,13.63,0.05,157.14549,-0.00844,55268.29596,0
1001056058075,13.64,0.05,157.14548,-0.00848,55268.30254,0
1001056058075,13.63,0.05,157.14547,-0.00848,55268.30903,0
1001056058075,13.65,0.05,157.14550,-0.00841,55270.28699,0
1001056058075,13.63,0.05,157.14550,-0.00840,55270.29366,0
1001056058075,13.66,0.05,157.14547,-0.00840,55270.30029,0
1001056058075,13.64,0.05,157.14549,-0.00842,55270.30700,0
1001056058075,13.66,0.05,157.14552,-0.00845,55324.18526,0
1001056058075,13.63,0.05,157.14550,-0.00842,55324.19269,0
1001056058075,13.66,0.05,157.14550,-0.00846,55324.20022,0
1001056058075,13.64,0.05,157.14552,-0.00847,55324.20771,0
1001056058075,13.69,0.05,157.14551,-0.00835,55662.28553,0
1001056058075,13.66,0.05,157.14547,-0.00843,55678.13168,0
1001056058075,13.67,0.05,157.14548,-0.00843,55678.14015,0
1001056058075,13.67,0.05,157.14548,-0.00842,55678.14865,0
1001056058075,13.66,0.05,157.14554,-0.00839,55678.15713,0
1001056058075,13.67,0.05,157.14549,-0.00842,55597.35531,0
