# get-gator-lightcurve.py output file
# RA: 226.522616
# Dec: 54.471842
# Reference HJD(UTC?): 2454907.7706072
# Excluded (bad mag / FWHM / correction): 18
# Median absolute correction (mag): 0.0110
# HJD(UTC?) Mag  Error
295.23727 16.25600 0.15100
297.26825 16.32300 0.21200
298.16969 16.29500 0.02600
298.21483 16.29000 0.02600
301.13137 16.28600 0.17300
306.11990 16.25400 0.84700
306.16583 16.29700 0.84700
314.16143 16.28600 0.03100
314.20648 16.26500 0.03100
320.07530 16.27000 0.03200
320.11982 16.26400 0.03200
336.27508 16.26700 0.02200
337.02713 16.26300 0.07300
337.07210 16.26100 0.07200
339.25126 17.08000 0.19800
343.28604 16.25400 0.05100
344.07008 16.24200 0.22900
362.17236 16.26100 0.02900
362.21689 16.27300 0.02900
406.17332 16.30600 0.02500
406.18836 16.28800 0.02200
406.21579 16.29600 0.02500
406.23361 16.29100 0.02200
412.02949 16.28700 0.02700
412.07253 16.28200 0.02700
417.09645 16.27200 0.10500
417.14213 16.28200 0.10500
431.00653 16.27400 0.02900
431.05072 16.28200 0.02900
444.02877 16.26900 0.05600
444.07291 16.26800 0.05600
449.14702 16.29200 0.02400
455.13299 16.27600 0.02400
455.18259 16.27200 0.02400
457.13548 16.25900 0.02700
457.17897 16.26700 0.02700
459.12987 16.28600 0.02500
459.17651 16.28100 0.02500
460.94805 16.28800 0.02500
460.99676 16.29700 0.02500
462.12228 16.29300 0.02500
462.16647 16.29800 0.02600
466.97040 16.27600 0.02500
467.01337 16.28000 0.02500
472.03243 16.28800 0.02200
472.07878 16.29000 0.02200
477.91556 17.13000 0.02600
477.95879 16.31700 0.02600
647.29722 16.31000 0.03100
650.21760 16.28600 0.07600
650.26075 16.29700 0.07600
654.28089 16.28100 0.08800
662.22370 16.31800 0.02400
664.15690 16.30000 0.08600
666.31085 16.26500 0.02400
669.14088 16.26500 0.09100
669.19275 16.26500 0.09100
670.23062 16.26500 0.06100
670.27362 16.24800 0.06100
671.23608 16.27700 0.09400
671.27981 16.27200 0.09400
672.24775 16.28000 0.02300
673.12711 16.28600 0.02400
673.17033 16.27800 0.02300
674.14117 16.35300 0.03600
674.20405 16.27700 0.03500
678.09327 16.31800 0.02800
679.10969 16.29000 0.05800
679.15398 16.28100 0.05800
680.19168 16.26600 0.03800
680.24874 16.21900 0.03800
684.14144 16.24700 0.16400
684.18731 16.23800 0.16400
696.11400 16.25400 0.03400
696.15793 16.24800 0.03400
697.16225 16.26600 0.02400
698.18148 16.25700 0.06100
699.21301 16.27500 0.04500
707.24350 16.25200 0.02300
707.28912 16.25000 0.02300
728.22549 16.29900 0.15900
728.22662 16.29000 0.15900
731.27478 16.27100 0.09200
731.94265 16.29200 0.05400
864.91087 16.27200 0.09300
864.96790 16.27400 0.09300
1110.19835 16.26500 0.05100
1110.24307 16.27500 0.05100
1113.98592 16.28500 0.18400
1114.08315 16.29200 0.18400
1116.89977 16.27100 0.22000
1116.93419 16.30500 0.21900
1116.96392 16.27800 0.21900
1118.93189 16.29200 0.02400
1118.96912 16.28000 0.02500
1119.00065 16.28700 0.02500
1130.22889 16.31700 0.03200
1130.90356 16.27100 0.02200
1130.95632 16.29400 0.02200
1133.21717 16.32000 0.02100
1133.22301 16.32100 0.02100
1134.22040 16.23600 0.02400
1139.21177 16.29000 0.02900
1140.03307 16.28400 0.02200
1140.07159 16.26000 0.02200
1152.17936 16.29200 0.02600
1152.21626 16.29100 0.02600
1153.19970 16.27800 0.02100
1154.19625 16.30000 0.02100
1161.16746 16.32500 0.02000
1164.16618 16.28000 0.02500
1164.20734 16.27200 0.02500
1169.20674 16.27800 0.02100
1351.23762 16.30200 0.09600
1351.26821 16.29200 0.09500
1352.23497 16.28600 0.06700
1352.26459 16.26700 0.06400
1358.21749 16.32600 0.24700
1359.21590 16.28900 0.19000
1359.24540 16.30400 0.19000
1417.16828 16.30100 0.02900
1417.20552 16.31400 0.02900
1417.24317 16.29800 0.02900
1420.14415 16.26700 0.02900
1420.25193 16.26700 0.02900
1420.28950 16.27100 0.02900
1421.19197 16.26500 0.02400
1421.29952 16.26100 0.02400
1422.13906 16.31200 0.16800
1422.29726 16.26200 0.16800
1423.13698 16.26800 0.02500
1428.15393 16.31200 0.02900
1428.27338 16.32400 0.02900
1429.12013 17.16900 0.03000
1429.29239 16.31300 0.02800
1430.11691 16.30400 0.02600
1430.29954 16.29900 0.02700
1438.11222 16.27900 0.07500
1438.15389 16.26000 0.07500
1438.19059 16.25500 0.07400
1447.13743 16.26600 0.14700
1447.17619 16.28400 0.14700
1447.20582 16.28800 0.14600
1449.20971 16.26700 0.23200
1455.10285 16.29100 0.02400
1455.14092 16.29100 0.02400
1455.17099 17.14600 0.02600
1456.17062 16.30800 0.02400
1456.20040 16.30800 0.02400
1456.23100 16.30200 0.02400
1460.26209 16.25400 0.45100
1461.13287 16.27800 0.02600
1461.16241 16.27000 0.02500
1462.14298 16.25400 0.08400
1462.17304 16.26500 0.08400
1462.21181 16.27400 0.08400
1463.26657 16.26300 0.12100
1465.17038 16.25400 0.49400
1467.22130 16.28900 0.02300
1467.25075 16.30100 0.02300
1468.22309 16.31100 0.03200
1469.04397 16.27400 0.02200
1469.07352 16.30000 0.02200
1469.10299 16.28500 0.02200
1478.20190 16.25700 0.07000
1478.25639 16.27100 0.07000
1479.16399 16.25200 0.24400
1479.19441 16.27300 0.24400
1479.22435 16.26600 0.24400
1480.17814 16.27400 0.02400
1480.20762 16.27900 0.02400
1480.23684 16.30600 0.02400
1481.22579 16.29700 0.02400
1481.25579 16.33000 0.02500
1482.19060 16.30700 0.03800
1482.22725 16.33300 0.03800
1485.16251 16.29900 0.02700
1485.19236 16.29400 0.02700
1485.96447 16.32500 0.02400
1487.08446 16.27800 0.22800
1487.96661 16.29300 0.02300
1487.99578 16.28200 0.02300
1489.18697 16.26100 0.02800
1492.15696 16.26400 0.03000
1492.19361 16.27500 0.03000
1492.22362 16.26400 0.03000
1493.16554 16.27100 0.02600
1493.19494 16.28800 0.02600
1493.22491 16.27800 0.02600
1494.18045 16.28900 0.02500
1494.21418 16.28400 0.02500
1494.24341 16.30000 0.02600
1495.17408 16.29900 0.04500
1495.20411 17.14100 0.04700
1495.23713 16.30100 0.04500
1496.17212 16.31300 0.02100
1496.20194 16.30800 0.02100
1496.23186 16.27500 0.02100
1497.19964 16.30600 0.02100
1497.22937 16.30200 0.02100
1498.18128 16.27900 0.10300
1498.21070 16.30900 0.10300
1498.24007 16.29100 0.10400
1505.15826 16.26200 0.02400
1505.18975 16.26800 0.02400
1505.21929 16.25100 0.02400
1506.15472 16.26700 0.02500
1506.18407 16.26200 0.02500
1506.21340 16.26900 0.02500
1509.11119 16.31400 0.12500
1509.15591 17.11600 0.12500
1509.18496 16.31900 0.12500
1510.08622 17.10700 0.05200
1510.13565 16.32200 0.05200
1510.16589 16.32100 0.05200
1517.08632 16.26700 0.02200
1517.12978 16.25900 0.02200
1517.15889 16.25300 0.02200
1518.06084 16.25700 0.02100
1518.14814 16.26700 0.02100
1518.17781 16.25600 0.02100
1520.09752 16.27400 0.02500
1520.14069 16.28100 0.02500
1520.17050 16.28400 0.02600
1521.07298 16.25900 0.02500
1521.91054 16.26100 0.25800
1524.11175 16.31200 0.02400
1524.18542 16.30200 0.02400
1524.21481 16.29200 0.02500
1525.11693 16.31200 0.02300
1525.15363 16.30500 0.02300
1525.18354 16.30400 0.02300
1526.08559 16.31500 0.03900
1526.12934 16.28300 0.03900
1526.15866 16.27600 0.03900
1527.06060 16.30400 0.02400
1527.12460 16.29200 0.02400
1831.19443 17.11600 0.03100
1831.25955 16.29900 0.03000
1840.22513 16.27600 0.02100
1840.25863 16.29500 0.02100
1845.13044 16.30100 0.02700
1845.16522 16.28600 0.02700
1846.21600 16.31300 0.02200
1846.25264 16.30900 0.02200
1851.22036 16.27100 0.02500
1860.23368 16.31000 0.02300
1863.19414 16.28300 0.03200
1863.22669 16.26300 0.03200
1871.10010 16.33300 0.03200
1871.18684 16.31600 0.03200
1873.15721 16.30600 0.02200
1873.19218 16.29300 0.02200
1874.18487 16.29900 0.04300
1874.22231 16.31200 0.04400
1875.19691 16.29600 0.06100
1878.16083 16.25500 0.05500
1878.20529 16.25800 0.05500
1879.11266 16.27200 0.02600
1879.14169 16.28200 0.02600
1880.10219 16.27200 0.02200
1880.14030 16.28800 0.02200
1881.97517 16.26600 0.02400
1882.00861 16.25100 0.02400
1883.01272 16.28100 0.02400
1883.04789 16.28900 0.02400
1884.02063 16.33100 0.02700
1884.05572 16.31400 0.02700
1885.02420 16.31200 0.02400
1885.05592 16.32300 0.02400
1886.09777 17.07700 0.03400
1886.12782 16.29000 0.03100
1887.07357 16.29700 0.17000
1887.10830 16.28500 0.17000
1889.09871 16.29200 0.02900
1889.12894 16.31000 0.02900
1894.12055 16.26200 0.27100
1895.03925 16.25600 0.02100
1895.07352 16.28300 0.02100
1896.03486 16.26800 0.02100
1896.06806 16.29300 0.02100
1897.06701 16.30200 0.02000
1898.03454 16.30000 0.13500
1898.06730 16.29300 0.13500
1949.95559 16.26700 0.13300
