wave flux_0kms flux_-120kms flux_-130kms flux_-140kms flux_-150kms ISM_attenuation
1.212160000000003492e+03 2.477944685735706200e-18 1.955579139583732299e-17 2.290911664216059572e-17 2.678016412608382422e-17 3.123849256587981763e-17 9.636106952380505408e-01
1.212165000000003602e+03 2.535071502671692528e-18 1.994347241420953130e-17 2.335711983416728116e-17 2.729667470981497572e-17 3.183260228092648951e-17 9.636106952380505408e-01
1.212170000000003711e+03 2.593431063367813592e-18 2.033817814315209256e-17 2.381311030757853381e-17 2.782224327819738376e-17 3.243695715625969303e-17 9.636106952380505408e-01
1.212175000000003820e+03 2.653047910761627851e-18 2.074002170818985007e-17 2.427721407461892141e-17 2.835700975249529998e-17 3.305171205615711412e-17 9.636106952380505408e-01
1.212180000000003929e+03 2.713947028424926036e-18 2.114911776925999856e-17 2.474955880698727572e-17 2.890111584054540911e-17 3.367702375918577290e-17 9.636106952380505408e-01
1.212185000000004038e+03 2.776153847408695719e-18 2.156558253598060410e-17 2.523027385144510173e-17 2.945470505250327233e-17 3.431305097391448113e-17 9.636106952380505408e-01
1.212190000000004147e+03 2.839694253171813748e-18 2.198953378296672070e-17 2.571949024543388502e-17 3.001792271659599506e-17 3.495995435460688032e-17 9.636106952380505408e-01
1.212195000000004256e+03 2.904594592593987345e-18 2.242109086519133940e-17 2.621734073271833600e-17 3.059091599487933533e-17 3.561789651689262580e-17 9.636106952380505408e-01
1.212200000000004366e+03 2.970881681073514306e-18 2.286037473338942286e-17 2.672395977905386086e-17 3.117383389899510178e-17 3.628704205341223642e-17 9.636106952380505408e-01
1.212205000000004475e+03 3.038582809710394637e-18 2.330750794950277259e-17 2.723948358787443189e-17 3.176682730592651162e-17 3.696755754943255921e-17 9.636106952380505408e-01
1.212210000000004584e+03 3.107725752575339830e-18 2.376261470216341801e-17 2.776405011599967710e-17 3.237004897374824240e-17 3.765961159842924975e-17 9.636106952380505408e-01
1.212215000000004693e+03 3.178338774065195910e-18 2.422582082221319745e-17 2.829779908935695510e-17 3.298365355736745489e-17 3.836337481763234255e-17 9.636106952380505408e-01
1.212220000000004802e+03 3.250450636345288329e-18 2.469725379825740201e-17 2.884087201871658487e-17 3.360779762425345159e-17 3.907901986353119498e-17 9.636106952380505408e-01
1.212225000000004911e+03 3.324090606879239897e-18 2.517704279224978279e-17 2.939341221543728443e-17 3.424263967015154553e-17 3.980672144733526743e-17 9.636106952380505408e-01
1.212230000000005020e+03 3.399288466046707804e-18 2.566531865510677365e-17 2.995556480721823481e-17 3.488834013477892095e-17 4.054665635038640696e-17 9.636106952380505408e-01
1.212235000000005130e+03 3.476074514849589001e-18 2.616221394234811625e-17 3.052747675385592948e-17 3.554506141749801145e-17 4.129900343951922633e-17 9.636106952380505408e-01
1.212240000000005239e+03 3.554479582707141533e-18 2.666786292976160997e-17 3.110929686300162781e-17 3.621296789296450512e-17 4.206394368236530146e-17 9.636106952380505408e-01
1.212245000000005348e+03 3.634535035340499448e-18 2.718240162908921657e-17 3.170117580591715685e-17 3.689222592674633441e-17 4.284166016259662026e-17 9.636106952380505408e-01
1.212250000000005457e+03 3.716272782747075098e-18 2.770596780373172780e-17 3.230326613322554232e-17 3.758300389090988510e-17 4.363233809510575023e-17 9.636106952380505408e-01
1.212255000000005566e+03 3.799725287265267901e-18 2.823870098446966310e-17 3.291572229065347371e-17 3.828547217956969588e-17 4.443616484111642589e-17 9.636106952380505408e-01
1.212260000000005675e+03 3.884925571729929481e-18 2.878074248519706647e-17 3.353870063476201658e-17 3.899980322439822175e-17 4.525332992322209110e-17 9.636106952380505408e-01
1.212265000000005784e+03 3.971907227719072428e-18 2.933223541866592214e-17 3.417235944866270010e-17 3.972617151009156917e-17 4.608402504034699130e-17 9.636106952380505408e-01
1.212270000000005894e+03 4.060704423892154720e-18 2.989332471223777476e-17 3.481685895771533136e-17 4.046475358978734490e-17 4.692844408262614239e-17 9.636106952380505408e-01
1.212275000000006003e+03 4.151351914420424361e-18 3.046415712364003035e-17 3.547236134520406058e-17 4.121572810043085289e-17 4.778678314619922143e-17 9.636106952380505408e-01
1.212280000000006112e+03 4.243885047509678620e-18 3.104488125672363161e-17 3.613903076798833829e-17 4.197927577808560873e-17 4.865924054791430528e-17 9.636106952380505408e-01
1.212285000000006221e+03 4.338339774015865413e-18 3.163564757721916785e-17 3.681703337212531336e-17 4.275557947318406093e-17 4.954601683993671791e-17 9.636106952380505408e-01
1.212290000000006330e+03 4.434752656153847310e-18 3.223660842848807301e-17 3.750653730845979523e-17 4.354482416571432807e-17 5.044731482425822238e-17 9.636106952380505408e-01
1.212295000000006439e+03 4.533160876299752644e-18 3.284791804726639724e-17 3.820771274817811343e-17 4.434719698033905707e-17 5.136333956710238521e-17 9.636106952380505408e-01
1.212300000000006548e+03 4.633602245887194129e-18 3.346973257939683199e-17 3.892073189832255259e-17 4.516288720144193422e-17 5.229429841322065881e-17 9.636106952380505408e-01
1.212305000000006658e+03 4.736115214397747890e-18 3.410221009554653546e-17 3.964576901726193163e-17 4.599208628809756577e-17 5.324040100007515760e-17 9.636106952380505408e-01
1.212310000000006767e+03 4.840738878445974844e-18 3.474551060690717175e-17 4.038300043011507946e-17 4.683498788896043249e-17 5.420185927190278460e-17 9.636106952380505408e-01
1.212315000000006876e+03 4.947512990959290286e-18 3.539979608087355837e-17 4.113260454412291129e-17 4.769178785706862876e-17 5.517888749365575324e-17 9.636106952380505408e-01
1.212320000000006985e+03 5.056477970452985198e-18 3.606523045669755701e-17 4.189476186396509378e-17 4.856268426455771469e-17 5.617170226481375301e-17 9.636106952380505408e-01
1.212325000000007094e+03 5.167674910400697410e-18 3.674197966111375640e-17 4.266965500701766263e-17 4.944787741728010209e-17 5.718052253306316115e-17 9.636106952380505408e-01
1.212330000000007203e+03 5.281145588700512129e-18 3.743021162393307688e-17 4.345746871854692732e-17 5.034756986932532751e-17 5.820556960783660749e-17 9.636106952380505408e-01
1.212335000000007312e+03 5.396932477237003039e-18 3.813009629360102412e-17 4.425838988683611323e-17 5.126196643743742821e-17 5.924706717371014374e-17 9.636106952380505408e-01
1.212340000000007421e+03 5.515078751539445110e-18 3.884180565271636424e-17 4.507260755823979820e-17 5.219127421532301160e-17 6.030524130365047375e-17 9.636106952380505408e-01
