wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1199.0500,0,3.2505,4.4576e-09,1.0714,4.3219
1199.1000,0,3.2505,4.4435e-09,1.072,4.3225
1199.1500,0,3.2505,4.4294e-09,0.99102,4.2415
1199.2000,0,3.2505,4.4153e-09,0.98082,4.2313
1199.2500,0,3.2505,4.4011e-09,0.98186,4.2324
1199.3000,0,3.2505,4.3869e-09,0.98291,4.2334
1199.3500,0,3.2505,4.3727e-09,0.98396,4.2345
1199.4000,0,3.2505,4.3584e-09,0.98501,4.2355
1199.4500,0,3.2505,4.344e-09,0.98606,4.2366
1199.5000,0,3.2505,4.3297e-09,0.98711,4.2376
1199.5500,0,3.2505,4.3153e-09,0.98816,4.2387
1199.6000,0,3.2505,4.3009e-09,0.98921,4.2397
1199.6500,0,3.2505,4.2864e-09,0.99026,4.2408
1199.7000,0,3.2505,4.2719e-09,0.99132,4.2418
1199.7500,0,3.2505,4.2574e-09,0.99237,4.2429
1199.8000,0,3.2505,4.2429e-09,0.99342,4.2439
1199.8500,0,3.2505,4.2288e-09,0.99448,4.245
1199.9000,0,3.2505,4.2165e-09,0.99553,4.246
1199.9500,0,3.2505,4.2064e-09,0.99659,4.2471
1200.0000,0,3.2505,4.1986e-09,0.99762,4.2481
1200.0500,0,3.2505,4.1931e-09,0.99854,4.249
1200.1000,0,3.2505,4.1899e-09,0.99943,4.2499
1200.1500,0,3.2505,4.1889e-09,1.0003,4.2508
1200.2000,0,3.2505,4.1898e-09,1.0012,4.2517
1200.2500,0,3.2505,4.1911e-09,1.0021,4.2526
1200.3000,0,3.2505,4.1924e-09,1.003,4.2535
1200.3500,0,3.2505,4.1937e-09,1.0039,4.2544
1200.4000,0,3.2505,4.1951e-09,1.0048,4.2553
1200.4500,0,3.2505,4.1964e-09,1.0057,4.2562
1200.5000,0,3.2505,4.1977e-09,1.0066,4.2571
1200.5500,0,3.2505,4.1991e-09,1.0075,4.258
1200.6000,0,3.2505,4.2004e-09,1.0084,4.2589
1200.6500,0,3.2505,4.2017e-09,1.0093,4.2598
1200.7000,0,3.2505,4.203e-09,1.0102,4.2607
1200.7500,0,3.2505,4.2043e-09,1.0111,4.2616
1200.8000,0,3.2505,4.2056e-09,1.012,4.2625
1200.8500,0,3.2505,4.2069e-09,1.0129,4.2634
1200.9000,0,3.2505,4.2082e-09,1.0138,4.2643
1200.9500,0,3.2505,4.2095e-09,1.0147,4.2652
1201.0000,0,3.2505,4.2108e-09,1.0156,4.2661
1201.0500,0,3.2505,4.2121e-09,1.0165,4.267
1201.1000,0,3.2505,4.2134e-09,1.0174,4.2679
1201.1500,0,3.2505,4.2147e-09,1.0178,4.2683
1201.2000,0,3.2505,4.216e-09,0.98608,4.2366
1201.2500,0,3.2505,4.2173e-09,0.98877,4.2393
1201.3000,0,3.2505,4.2186e-09,0.98964,4.2401
1201.3500,0,3.2505,4.2198e-09,0.99051,4.241
1201.4000,0,3.2505,4.2211e-09,0.99138,4.2419
1201.4500,0,3.2505,4.2224e-09,0.99226,4.2428
1201.5000,0,3.2505,4.2236e-09,0.99313,4.2436
1201.5500,0,3.2505,4.2249e-09,0.994,4.2445
1201.6000,0,3.2505,4.2262e-09,0.99331,4.2438
1201.6500,0,3.2505,4.2274e-09,0.95955,4.21
1201.7000,0,3.2505,4.2287e-09,0.99289,4.2434
1201.7500,0,3.2505,4.2299e-09,0.99376,4.2443
1201.8000,0,3.2505,4.2312e-09,0.99463,4.2451
