#      __l          _f
#
3977.840000 1955.080000
3978.720000 1922.410000
3979.600000 1393.340000
3980.480000 639.584000
3981.360000 1001.550000
3982.240000 1011.570000
3983.120000 600.888000
3984.000000 -66.523200
3984.880000 2645.870000
3985.760000 1721.880000
3986.640000 300.418000
3987.520000 368.825000
3988.400000 1212.840000
3989.280000 4803.310000
3990.160000 1408.730000
3991.040000 -2081.230000
3991.920000 -221.232000
3992.800000 807.810000
3993.680000 2788.550000
3994.560000 2827.280000
3995.440000 69.727800
3996.320000 139.005000
3997.200000 1497.130000
3998.080000 398.755000
3998.960000 -301.560000
3999.840000 930.199000
4000.720000 955.330000
4001.600000 487.040000
4002.480000 2561.690000
4003.360000 3764.230000
4004.240000 1091.800000
4005.120000 2635.370000
4006.000000 1554.410000
4006.880000 -445.088000
4007.760000 685.071000
4008.640000 496.046000
4009.520000 1688.360000
4010.400000 1502.400000
4011.280000 2867.100000
4012.160000 2134.440000
4013.040000 1183.110000
4013.920000 1850.390000
4014.800000 2264.970000
4015.680000 1012.280000
4016.560000 1107.400000
4017.440000 1836.710000
4018.320000 1203.570000
4019.200000 773.283000
4020.080000 1038.080000
4020.960000 774.895000
4021.840000 -203.405000
4022.720000 -2233.640000
4023.600000 1195.430000
4024.480000 3809.640000
4025.360000 3312.470000
4026.240000 1585.740000
4027.120000 2574.320000
4028.000000 4392.750000
4028.880000 2620.710000
4029.760000 270.637000
4030.640000 716.126000
4031.520000 883.404000
4032.400000 -222.490000
4033.280000 714.590000
4034.160000 1738.310000
4035.040000 1607.140000
4035.920000 1018.530000
4036.800000 251.198000
4037.680000 265.459000
4038.560000 894.725000
4039.440000 1437.300000
4040.320000 92.771700
4041.200000 1202.210000
4042.080000 2239.970000
4042.960000 1450.730000
4043.840000 -551.921000
4044.720000 81.993200
4045.600000 363.693000
4046.480000 287.839000
4047.360000 -174.388000
4048.240000 404.416000
4049.120000 497.182000
4050.000000 615.464000
4050.880000 1778.130000
4051.760000 1583.980000
4052.640000 290.898000
4053.520000 1217.870000
4054.400000 1910.070000
4055.280000 285.186000
4056.160000 1267.580000
4057.040000 1632.470000
4057.920000 711.793000
4058.800000 1393.040000
4059.680000 -811.644000
4060.560000 -81.031500
4061.440000 -856.530000
4062.320000 -712.244000
4063.200000 964.314000
4064.080000 9.196660
4064.960000 157.580000
4065.840000 1143.720000
4066.720000 1175.620000
4067.600000 1397.290000
4068.480000 1703.660000
4069.360000 1369.370000
4070.240000 1362.400000
4071.120000 889.982000
4072.000000 -629.155000
4072.880000 536.918000
4073.760000 933.647000
4074.640000 813.125000
4075.520000 387.695000
4076.400000 990.066000
4077.280000 2082.240000
4078.160000 1530.750000
4079.040000 928.332000
4079.920000 876.650000
4080.800000 1079.870000
4081.680000 985.063000
4082.560000 280.354000
4083.440000 456.744000
4084.320000 1897.480000
4085.200000 923.152000
4086.080000 -1619.820000
4086.960000 496.366000
4087.840000 1029.440000
4088.720000 -18.969200
4089.600000 430.762000
4090.480000 957.063000
4091.360000 664.182000
4092.240000 626.419000
4093.120000 1364.580000
4094.000000 1304.420000
4094.880000 417.979000
4095.760000 271.320000
4096.640000 549.648000
4097.520000 628.434000
4098.400000 1401.400000
4099.280000 142.765000
4100.160000 2316.130000
4101.040000 3503.410000
4101.920000 2704.590000
4102.800000 3333.490000
4103.680000 2637.230000
4104.560000 2264.040000
4105.440000 2301.080000
4106.320000 2065.840000
4107.200000 1615.340000
4108.080000 712.646000
4108.960000 185.043000
4109.840000 1346.370000
4110.720000 1506.200000
4111.600000 1399.840000
4112.480000 1283.700000
4113.360000 478.150000
4114.240000 940.657000
4115.120000 1165.270000
4116.000000 1368.190000
4116.880000 1953.510000
4117.760000 2089.760000
4118.640000 1566.640000
4119.520000 1605.630000
4120.400000 2294.450000
4121.280000 2159.070000
4122.160000 1331.050000
4123.040000 1736.240000
4123.920000 2117.340000
4124.800000 705.005000
4125.680000 1746.530000
4126.560000 1650.320000
4127.440000 2976.250000
4128.320000 3471.600000
4129.200000 1488.140000
4130.080000 704.082000
4130.960000 1159.920000
4131.840000 1386.150000
4132.720000 1169.960000
4133.600000 618.545000
4134.480000 31.889300
4135.360000 309.399000
4136.240000 417.847000
4137.120000 114.791000
4138.000000 156.519000
4138.880000 -777.021000
4139.760000 -702.432000
4140.640000 604.057000
4141.520000 1308.700000
4142.400000 1224.620000
4143.280000 824.258000
4144.160000 580.419000
4145.040000 1082.480000
4145.920000 1920.720000
4146.800000 1498.090000
4147.680000 1102.250000
4148.560000 877.322000
4149.440000 29.573300
4150.320000 -20.449200
4151.200000 1369.540000
4152.080000 2187.190000
4152.960000 1720.530000
4153.840000 359.456000
4154.720000 399.672000
4155.600000 1466.140000
4156.480000 1086.340000
4157.360000 1501.190000
4158.240000 2036.150000
4159.120000 2070.230000
4160.000000 354.923000
4160.880000 26.772200
4161.760000 1124.630000
4162.640000 260.238000
4163.520000 20.491000
4164.400000 38.985500
4165.280000 38.469100
4166.160000 558.219000
4167.040000 462.843000
4167.920000 -517.023000
4168.800000 2265.790000
4169.680000 2980.640000
4170.560000 890.360000
4171.440000 357.617000
4172.320000 888.052000
4173.200000 1201.710000
